PlcIndex;Easting;Northing
1;631900;4805901
2;635713;4813636
3;512077;4637312
4;510257;4637804
5;510372;4638198
6;510224;4638870
7;510011;4639050
8;510060;4639345
9;510355;4639575
10;510372;4639837
11;510831;4639526
12;511552;4639198
13;511523;4636548
14;512564;4638144
15;510621;4639602
16;510065;4651402
17;512495;4642378
18;514369;4646751
19;514508;4640088
20;516035;4640712
21;517631;4641198
22;518881;4644114
23;519228;4647515
24;519644;4649528
25;519922;4652096
26;516659;4654456
27;522629;4654387
28;521727;4647792
29;524434;4648764
30;525822;4651332
31;526655;4654387
32;524989;4656122
33;528807;4655358
34;528390;4656191
35;528946;4658413
36;529848;4657163
37;531514;4656608
38;532624;4656885
39;535054;4656538
40;538108;4657233
41;547826;4659037
42;546368;4659731
43;547270;4660356
44;547826;4661189
45;547965;4662716
46;550741;4663549
47;558585;4671184
48;565179;4666742
49;555114;4683818
50;538455;4669380
51;538455;4671115
52;530334;4665284
53;510169;4655289
54;510308;4661814
55;512460;4661467
56;514265;4659523
57;515237;4663618
58;513918;4666464
59;515168;4667020
60;516486;4670143
61;519402;4673753
62;520304;4674204
63;521796;4674933
64;522629;4676009
65;524608;4677362
66;507845;4671601
67;507445;4677067
68;516313;4672104
69;517128;4678108
70;513519;4681024
71;517614;4681440
72;515567;4686264
73;518447;4684251
74;518482;4686195
75;521189;4688069
76;523688;4691401
77;532642;4687653
78;505849;4693379
79;528616;4698169
80;528373;4700390
81;525909;4698655
82;510812;4698342
83;518829;4705283
84;515324;4703999
85;515185;4711496
86;518933;4715314
87;519350;4716980
88;525250;4716494
89;536911;4709275
90;539769;4791953
91;590377;4693963
92;655187;4820162
93;642253;4817016
94;633863;4822085
95;632115;4808626
96;543494;4794293
97;513429;4765626
98;617170;4718432
99;574345;4708993
100;576443;4707944
101;577666;4708644
102;579065;4707944
103;569626;4705148
104;572248;4704448
105;573996;4703400
106;576617;4703225
107;572597;4700953
108;573122;4699379
109;570500;4697806
110;571374;4695709
111;578540;4701652
112;576967;4700079
113;577666;4699030
114;578016;4696058
115;583784;4703574
116;583434;4701127
117;585707;4702351
118;592873;4704274
119;586930;4699904
120;588329;4700953
121;589552;4701127
122;593223;4692038
123;583959;4689416
124;585532;4689766
125;582386;4687843
126;584308;4687843
127;586231;4687843
128;589203;4686445
129;586581;4683473
130;593048;4686445
131;594272;4686445
132;595845;4686445
133;592873;4684522
134;594446;4684347
135;595320;4684347
136;602312;4683124
137;619170;4812120
138;621927;4800018
139;622460;4809910
140;621720;4809900
141;621550;4809680
142;620610;4804920
143;627625;4836181
144;624774;4834124
145;625400;4832920
146;625623;4837040
147;626140;4836600
148;609520;4814345
149;603100;4812950
150;619259;4819270
151;618481;4814139
152;618596;4817135
153;602500;4798700
154;602400;4802960
155;602480;4801950
156;601630;4800140
157;603780;4799110
158;605440;4799210
159;605872;4795597
160;600735;4801325
161;601760;4807260
162;601750;4807100
163;622782;4809869
164;619444;4804139
165;619773;4806742
166;619104;4802855
167;619794;4804201
168;619517;4804196
169;619134;4819059
170;619081;4813885
171;646966;4736446
172;619081;4813848
173;620514;4811037
174;620626;4811066
175;620721;4810895
176;619782;4811694
177;620333;4811810
178;620612;4811133
179;619727;4811366
180;619858;4811176
181;620207;4811054
182;601526;4799970
183;601620;4806964
184;619125;4819015
185;619267;4820234
186;602365;4801775
187;602982;4812633
188;631900;4805901
189;603467;4798669
190;603447;4798982
191;605487;4799022
192;652286;4745117
193;622571;4809796
194;635518;4767156
195;624309;4713283
